"","f.avg","f.se","l","u","p_f.avg_vs_0","p.adj_I","f.ctrl","diff","p_f.avg_vs_CTRL","p.adj_II","Rep1_Add.mean","Rep1_Add.sd","Rep1_Max.mean","Rep1_Max.sd","Rep1_Min.mean","Rep1_Min.sd","Rep1_p.value_Add","Rep1_p.value_Max","Rep1_p.value_Min","Rep1_avg.f.DKO","Rep1_avg.f.SKO1","Rep1_avg.f.SKO2","Rep1_z_Add","Rep1_z_Max","Rep1_z_Min","Rep1_p.adj_Add","Rep1_p.adj_Max","Rep1_p.adj_Min","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min","gi.Weighted.Avg.Add","gi.Weighted.Avg.Max","gi.Weighted.Avg.Min","fisher.p.Add","fisher.p.Add.adj","fisher.p.Max","fisher.p.Max.adj","fisher.p.Min","fisher.p.Min.adj"
"MLH1-NCOR1",-0.0520649889549928,0.010259403533237,-0.0706161381304195,-0.0312427741266953,0,0,-0.0723979343480979,0.0203329453931051,0.186,0.26662577962578,0.0093113196753298,0.0806800413438619,-0.045128388477173,0.0667843925127639,0.00219343548583612,0.0631444713287774,0.0949091411071712,0.999999999999112,0.661870892853232,-0.0522462726666667,-0.0332719069915421,-0.0282856853504544,-0.320403639168769,-6.51797959947054,-2.4200014439552,0.109767701396552,1,1,0.00445995475882843,0.0850963454662818,-0.0460163395525012,0.0749936743717327,-0.00140741326200368,0.0616742104045998,0.260492952219125,0.99999999999959,0.393650963777853,-0.0518837075733333,-0.0214113222705576,-0.0349323400616042,-0.378290366770834,-6.32691880389489,-2.49111307566018,0.299838241877222,1,1,0.00701478654140123,-0.0455211213698514,0.000350601973529243,0.116199227198136,0.131579995956215,1,1,0.610974232278904,1
"MLH1-NF1",-0.0127213799884408,0.0098049703254391,-0.0309870815359452,0.00653187185082464,0.087,0.0917224770642202,-0.0723979343480979,0.0596765543596571,0,0,0.0337725351905739,0.0839527961486717,-0.0155924207510975,0.0680340097512765,0.0357480378750046,0.0663861136500806,1.57949536892987e-06,0.995055900514523,0.999999999844643,-0.0136169180666667,-0.0332719069915421,-0.0141175462656984,-0.222983635014451,-6.32782398584055,-2.32121948939013,2.29902399473217e-06,1,1,0.0101902892483663,0.0778817572373751,-0.0262977062677778,0.0646247098325494,0.0246621517161441,0.0573105263131037,0.0637294352819054,0.999998144069352,0.999999521346592,-0.0118258438,-0.0214113222705576,-0.000604810777808687,-0.356955739612144,-6.2034992865021,-2.41321068221424,0.0769628699306071,1,1,0.0210979943523265,-0.0212200053996269,0.0293960814889842,1.7224509400733e-06,2.22392399857566e-06,0.999987748592939,1,0.999999999999885,1
"MLH1-NF2",0.150504511246106,0.0134684423999566,0.122210952167666,0.175054455762512,0,0,-0.0723979343480979,0.222902445594204,0,0,-0.0117899555329194,0.0631359486218044,-0.0453013053027277,0.0390588881752082,0.184744503703142,0.0888828472674541,0.900729988650474,0.999999988733273,1,0.151233153933333,-0.0332719069915421,0.196295016457795,-0.404442239669548,-6.5190928558695,-1.88258630437756,0.944164399170379,1,1,-0.0195886123917528,0.0558224746786533,-0.0410828210779428,0.0366045411657938,0.17127007248619,0.0823948317854821,0.988445429797702,0.999999943604278,1,0.1497758638,-0.0214113222705576,0.19077579846231,-0.467825666114196,-6.29603976373088,-1.97510947355606,0.99999999999948,1,1,-0.0161669341178903,-0.0430553691287656,0.177497606645709,0.993752613318498,0.999999999990085,0.999999999999998,1,1,1
"MLH1-NFIA",-0.076462305879415,0.00804009838054714,-0.0910887988881651,-0.059563536901789,0,0,-0.0723979343480979,-0.00406437153131703,0.782,0.838552099533437,0.0170158230443846,0.0765897516597769,-0.0619337048437129,0.0629365302284641,-0.00159266811190248,0.0528218441463869,0.0127068089253804,1,0.372853232859353,-0.080542196,-0.0332719069915421,-0.0642861120528425,-0.28971944239398,-6.62617396356123,-2.43114741759044,0.0154864233778074,1,1,0.00485463753212218,0.0579481279104027,-0.063413334171371,0.048791512754398,-0.00411445162984015,0.0362170445385857,0.237171996540094,1,0.173254243555413,-0.0723824233333333,-0.0214113222705576,-0.0558257385948979,-0.376820922041289,-6.43580711521662,-2.4992023847139,0.274903905080564,1,1,0.00928191344687816,-0.0628578887619683,-0.00330803949288602,0.0205069785986959,0.0239157903446532,1,1,0.2415699699945,1
"MLH1-PBRM1",-0.0623264159628937,0.0065807464409512,-0.075474446345815,-0.049991921763943,0,0,-0.0723979343480979,0.0100715183852043,0.523,0.616424786324786,0.0433202888556501,0.0694208849285771,-0.0359552449952402,0.060284530103538,0.0151536213508903,0.0375032428661103,1.08009421038769e-10,0.999999999292053,0.999995552875908,-0.0641219125,-0.0332719069915421,-0.074170294364108,-0.184958451795879,-6.45892195342013,-2.38184773626323,1.95389484716792e-10,1,1,0.025907877064441,0.0648478543736525,-0.043762679560889,0.0573863269124961,0.00913963120866337,0.0420517797537737,3.52800251967925e-05,0.999999999999858,0.985666515968217,-0.0605309254166667,-0.0214113222705576,-0.06502748021055,-0.298437536791324,-6.31281307838562,-2.459595863588,4.95040353554993e-05,1,1,0.0340217244511434,-0.0400511408195982,0.0124893541782898,1.3032546464887e-13,1.97724904032496e-13,1,1,0.999896717976847,1
"MLH1-PTEN",0.0419411253451387,0.0291486695914657,-0.0164977541102393,0.095763998788123,0.075,0.0791921898928025,-0.0723979343480979,0.114339059693237,0,0,-0.0312403618769227,0.0743237697887256,-0.0670741650915561,0.0463389199168861,0.0818822482146335,0.110348830360044,0.963724907089323,0.999981438642527,0.999999765013402,0.046048445,-0.0332719069915421,0.110560713868465,-0.481906038050912,-6.65926877805435,-2.18540421681412,0.996801268955103,1,1,-0.0503332250740804,0.0758029376912879,-0.0737424234290668,0.0525685342149164,0.0612430066883197,0.109029045365314,0.998659176508637,0.999998000811826,0.999965996326442,0.0378338083333333,-0.0214113222705576,0.109578355677971,-0.582291034569272,-6.50045719480806,-2.30389792003274,0.99999999999948,1,1,-0.0405986936395199,-0.0699899583892188,0.0714384655443142,0.999285343544915,0.999999999990085,0.999999999788631,1,0.999999999413851,1
"MLH1-PTPN22",-0.0538960820220534,0.00471988908086517,-0.0640467985020576,-0.0451303058168918,0,0,-0.0723979343480979,0.0185018523260446,0.242,0.329760869565217,-0.00916290584883483,0.0946471813463285,-0.0676369030363548,0.0770288016484271,0.00173825718751995,0.0314058569528285,0.82163002577869,0.999999999999903,0.684000850454244,-0.0560635691666667,-0.0332719069915421,-0.0143009271596231,-0.393979669198443,-6.66289174311845,-2.42134145095221,0.875788918153169,1,1,-0.0246861963233762,0.105821917330021,-0.0741092626382129,0.0885047725146007,-0.00230553293516327,0.0412716820215241,0.992334106703733,0.999999999999999,0.296743283192779,-0.05172859925,-0.0214113222705576,-0.00563108065606621,-0.48680449759251,-6.50275325242523,-2.49379688232126,0.99999999999948,1,1,-0.0160619177494364,-0.0704265188942458,0.000255365753382043,0.981789986209889,0.999999999990085,1,1,0.526649907991845,1
"MLH1-RB1",-0.0393904826657227,0.00524912036889796,-0.0496605915166586,-0.0286908485598804,0,0,-0.0723979343480979,0.0330074516823752,0.016,0.0346373626373626,0.0156653578931499,0.0701140543176874,-0.0384539514094791,0.0579825052232603,0.0106556335248512,0.0400710806095763,0.00344041221944034,0.999999999999998,0.998941751177245,-0.0434636757777778,-0.0332719069915421,-0.0258571266793855,-0.295097847263581,-6.47500888362968,-2.3950894377715,0.00432415791751459,1,1,0.011637592157861,0.060480946000505,-0.0324297296987479,0.0487561971604235,0.00875002957883106,0.0332588263189165,0.00814856755915371,0.999999999999997,0.999571112048605,-0.0353172922777778,-0.0214113222705576,-0.0255435621650811,-0.351567281396288,-6.24187980514981,-2.46076009089596,0.0102320081282555,1,1,0.0133559818200982,-0.0349249790601685,0.0095273181008571,0.00032189350309577,0.000391587876243111,1,1,0.999998894338913,1
"MLH1-RBL2",-0.0567344315804327,0.00695643267335992,-0.0701191383512109,-0.0421691396789903,0,0,-0.0723979343480979,0.0156635027676652,0.303,0.392703947368421,0.030056984122248,0.0796361009539609,-0.0391568837364529,0.0658432811438104,0.0133299571920342,0.0512926256739409,1.23013121819732e-05,0.999999999920753,0.998812760341772,-0.0558839106666667,-0.0332719069915421,-0.0526689877973726,-0.23778130524005,-6.47953443461943,-2.38721645164817,1.71159915564496e-05,1,1,0.00753620019514563,0.063141622049712,-0.0463676038818091,0.0521691327566541,-0.00368115325637858,0.0400190080118609,0.0864595730082892,1,0.128343708448763,-0.0575849573333333,-0.0214113222705576,-0.0437098352579214,-0.366837187283271,-6.32911737787182,-2.49790758058513,0.103939613607427,1,1,0.0162291313303352,-0.0435866841083313,0.00275569112590691,1.56917312138167e-05,1.98731954054642e-05,1,1,0.391525988487095,1
"MLH1-RHOBTB1",-0.0527265644451701,0.00546644273182914,-0.0638328520958019,-0.0420143378305895,0,0,-0.0723979343480979,0.0196713699029278,0.183,0.263420668058455,0.0374703875484304,0.0719304208675618,-0.0326560510004152,0.0576454966189411,0.0177472220155123,0.0424417413819539,4.08341139996926e-09,0.999999999406498,0.999999762817401,-0.0523792165333333,-0.0332719069915421,-0.0565776970902216,-0.2082564522283,-6.43768140141288,-2.37421239193576,6.77672530207665e-09,1,1,0.0141881817801114,0.0650365003494505,-0.0438054259984661,0.052313483069387,0.00491969511191082,0.0372478207245652,0.00779690358166565,1,0.924416470677274,-0.0530739126666667,-0.0214113222705576,-0.0458507721762204,-0.342071172796539,-6.31308062962104,-2.47220609020288,0.00982765603544549,1,1,0.0246603887036799,-0.0387701138274874,0.0105009363781597,8.01373093167611e-10,1.11854812793711e-09,1,1,0.997068731685841,1
"MLH1-ROBO1",-0.0535077416546465,0.00441185963364062,-0.062227412920168,-0.04388814169416,0,0,-0.0723979343480979,0.0188901926934514,0.128,0.193756311745335,0.0251621504635881,0.072578627721299,-0.0381579230643009,0.0586659094812166,0.0133115221469365,0.0371668458349233,3.12403888301613e-06,1,0.999997561343409,-0.0500085513809524,-0.0332719069915421,-0.0418987948529983,-0.257275623298945,-6.4731030225402,-2.38727072288542,4.47351572233196e-06,1,1,0.0128467970808103,0.0624466910366457,-0.0476341853314558,0.0503469883491744,0.0034740505551232,0.0339034882455735,0.00494836932128937,1,0.891250961615637,-0.0570069318571429,-0.0214113222705576,-0.0484424066673955,-0.347065286576147,-6.33704494916933,-2.47652603843141,0.00633353061778929,1,1,0.0180855369479202,-0.0436150137364489,0.00794202663386641,2.93488434899563e-07,3.83792568714813e-07,1,1,0.993859746819533,1
"MLH1-ROBO2",-0.038960553355462,0.0118117662608258,-0.0603270507192102,-0.013839725821502,0.002,0.0022331983805668,-0.0723979343480979,0.0334373809926359,0.037,0.0684872483221476,0.0345651012271927,0.0961686713541247,-0.0337532372848973,0.080433801610289,0.02855586051209,0.0671173005731948,4.06716078892998e-05,0.999998506189528,0.999997518719125,-0.039762478,-0.0332719069915421,-0.0410556722356506,-0.219827136657619,-6.44474520013879,-2.34239266048742,5.5541248260774e-05,1,1,0.00557150746370756,0.0944872822916518,-0.0441310985491993,0.0809333013788473,0.0115439812795735,0.0729155060377871,0.25623010448736,0.999999997948033,0.962623086030488,-0.0381586247333333,-0.0214113222705576,-0.0223188099264833,-0.374151941244518,-6.31511902388798,-2.45241106302217,0.295187765899426,1,1,0.0198126306077936,-0.0389100443333978,0.0207531100363542,0.000129970786706921,0.000160317454114769,0.999999999998881,1,0.999292522976562,1
"MLH1-RUNX1",-0.0226191436791725,0.00660361408681626,-0.0354047583441598,-0.00920422482816229,0.001,0.0011238793806031,-0.0723979343480979,0.0497787906689254,0,0,0.0200384727570285,0.0731984135654326,-0.0308695276867253,0.0597329403475614,0.0294175053881982,0.0471845218122215,0.00134806238463036,0.999999991282274,0.999999999986569,-0.0214904950555556,-0.0332719069915421,-0.00825706082104193,-0.27768134284086,-6.4261795796297,-2.33985604974128,0.00172541575484542,1,1,0.0177401884853652,0.0694450466389883,-0.0280744286711026,0.0566617327880776,0.0220668216009123,0.038299907890678,0.0010222842003605,0.999999999465335,0.999999999807446,-0.0237477955555556,-0.0214113222705576,-0.0200766617703632,-0.32884668496601,-6.21461984533561,-2.42096617901398,0.00134880482555027,1,1,0.0188288978772236,-0.029398277583395,0.0249863525065778,1.99753293444617e-05,2.520198545267e-05,1,1,1,1
"MLH1-SETD2",-0.0687071661770154,0.00970181532331545,-0.0864788117533004,-0.0487212012717959,0,0,-0.0723979343480979,0.00369076817108248,0.828,0.878316923076923,0.0376599309421388,0.10465519082166,-0.0652708530864848,0.0643357419270797,0.0242775151397347,0.0749053815416085,0.000846850135067104,0.999999999999998,0.998346127958784,-0.0786532688888889,-0.0332719069915421,-0.0830412928394856,-0.207501570763354,-6.64765886894045,-2.35498775290676,0.00109446713362474,1,1,0.074036419675686,0.116609237404552,-0.0473073927194122,0.063917558760683,0.062582760172876,0.0945216344001505,3.64648286379734e-09,0.999999999878808,0.999999999870203,-0.0587610522222222,-0.0214113222705576,-0.111386149627351,-0.119250001722175,-6.33499954440504,-2.29989440086539,5.94740009519714e-09,1,1,0.0538886163227441,-0.0562305518031636,0.0390538224792066,8.49314497172369e-11,1.20577197350167e-10,1,1,0.999998631598826,1
"MLH1-SIAH1",-0.0542827661218196,0.0046982036008571,-0.0636710738727866,-0.0450350895665563,0,0,-0.0723979343480979,0.0181151682262783,0.255,0.342733918128655,0.0244856725968898,0.0670540575151908,-0.0415674352764372,0.0543572313727227,0.00689677503999366,0.0343046788862944,0.000171659777131458,0.999999999999326,0.97636863672575,-0.0591563328333333,-0.0332719069915421,-0.050370098438681,-0.259969785269064,-6.49505381463514,-2.40615520406375,0.000227393471005308,1,1,0.0203071780399377,0.0586444829428595,-0.0390949395170995,0.0422242395780925,0.00999292005703712,0.0333023031800704,0.000474740563796826,0.999999999999997,0.998628336804221,-0.0494091975,-0.0214113222705576,-0.04830505326938,-0.319289517724369,-6.28359755339456,-2.45704602266642,0.00063779735318601,1,1,0.0221181183513815,-0.0400254072065714,0.00849074248975869,1.41169678800485e-06,1.82803705165472e-06,1,1,0.999685606376502,1
"MLH1-SMAD4",-0.0176949503112453,0.00566564343465299,-0.0287989472496677,-0.00652948419457821,0,0,-0.0723979343480979,0.0547029840368526,0,0,-0.0280407433502498,0.0802167676907581,-0.0699504917636888,0.0613562898452293,0.0228061864801056,0.0460247865301077,0.999868239371187,1,0.999999683146549,-0.0191035619333333,-0.0332719069915421,0.0422090884084586,-0.469163136948289,-6.67778686652236,-2.3593192219291,0.999999999998569,1,1,-0.0459893921429239,0.0646438373457114,-0.0730315586319086,0.0472606460567299,0.0107558287556514,0.0449219431633009,0.999999999996498,1,0.994928164956795,-0.0162863377333333,-0.0214113222705576,0.0511143766801482,-0.566118495916413,-6.49600787071293,-2.45476626028248,0.99999999999948,1,1,-0.0389225543809372,-0.0718842449545317,0.0166349033739547,0.999999991319186,0.999999999990085,1,1,0.999987114842107,1
