"","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min"
"APC-CDH1",0.0237706295381801,0.0823032460071804,-0.0372828653689015,0.0730907473017839,0.0029977830570816,0.0727736500792766,4.19328760469453e-05,0.999999999972054,0.716113282972546,-0.05805571185,-0.0524813408458829,-0.0293450005422972,-0.306394730075915,-6.27225572692914,-2.47794924507291,5.8591141873814e-05,1,1
"APC-CDKN1B",0.0364321708629623,0.0600087308731678,-0.0250329235837872,0.0517726271748733,0.0111997679467495,0.0485473823898699,2.61224656989904e-15,0.999999999891269,0.998792553565717,-0.0502653265,-0.0524813408458829,-0.0342161565170794,-0.259254503984094,-6.1955829737328,-2.45343965872392,5.68774868913979e-15,1,1
"APC-CSMD1",0.0169354718864284,0.05173634590348,-0.0472580042118882,0.0448529352208067,-0.0156599922350167,0.0387776682194445,1.07268566547688e-07,1,4.16274285690896e-10,-0.0798534683333333,-0.0524813408458829,-0.0443075993738788,-0.33184272797852,-6.33469042025453,-2.53370335346902,1.6773363118188e-07,1,2.69179545033892e-08
"APC-CTCF",0.0565658686843427,0.07804295934541,-0.0450459886012641,0.0712983002097315,0.00804674981894008,0.0692919107359243,8.08018793020504e-15,0.99999999999495,0.905403354725941,-0.0935651074666667,-0.0524813408458829,-0.0976496353051265,-0.184294667498264,-6.32084534817541,-2.46286166706739,1.7197960185316e-14,1,1
"APC-DUSP26",0.0204184819867443,0.0547096759070476,-0.0438727688105734,0.0477093195729677,0.00119679583731772,0.0377065123875449,2.92866338611646e-06,1,0.653360984108865,-0.06309445496,-0.0524813408458829,-0.0310315961008614,-0.318875121634447,-6.31350213030266,-2.48333104623081,4.291058176785e-06,1,1
"APC-FOXA1",0.0229321166669702,0.0676608321318174,-0.0429589253171796,0.0583806814624169,-0.00133841521585023,0.044781452577521,1.19788322236944e-07,1,0.330965055964271,-0.0672294572,-0.0524813408458829,-0.0376802330210873,-0.309516600100725,-6.30778235645735,-2.49090689220668,1.86869782689632e-07,1,1
"APC-FTO",0.05101888064802,0.0574368909538403,-0.0368342322139559,0.0512172293137789,0.00230681926197583,0.0448821192520817,1.16028892198694e-34,1,0.776502775950263,-0.0855462936,-0.0524813408458829,-0.0840838334021371,-0.204946676874806,-6.26944771855096,-2.48001401805506,9.26833199129326e-34,1,1
"APC-GATA3",0.0134292285502038,0.0479417452488789,-0.0470505324108073,0.0413499587159326,-0.00143881131898893,0.032729479246443,0.000245144721955721,1,0.302028607630895,-0.06191857228,-0.0524813408458829,-0.0228664599843209,-0.344896834059512,-6.33339184802631,-2.49120690092311,0.000333739118391464,1,1
"APC-KAT6B",0.0190289263415469,0.0718322867811359,-0.051673739029596,0.0639833959971063,-0.0096121859621905,0.0533843469330925,1.7767737365216e-05,1,0.00291684828432227,-0.0803148513333333,-0.0524813408458829,-0.0468624368289973,-0.324048580820934,-6.36232863697405,-2.51563099268565,2.52518968341655e-05,1,0.0501935155877489
"APC-KDM5C",0.0068605417146966,0.0505005707381089,-0.0500738060343793,0.0452401015400727,0.00277500217574256,0.0357791684381632,0.0857291434976232,1,0.769669804586136,-0.0541593455733333,-0.0524813408458829,-0.00853854644214705,-0.369352733590961,-6.35231460835051,-2.47861497017745,0.103155031105125,1,1
