"","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min"
"APC-CDH1",-0.0298087598366258,0.0291260884740887,-0.0288926772042388,0.0229237715055632,-0.00815499203238705,0.026762874694295,1,1,6.61181713526477e-05,-0.0072389094,0.00327310399850632,0.0192967464381195,-1.91099187876933,-6.54590186434408,-1.84299789151581,1,1,0.00096343621113858
"APC-CDKN1B",-0.0256392031340141,0.0306162114961792,-0.0251782209156128,0.0282187374802157,-0.00481762187340135,0.0285630432296672,1,1,0.0248119347612464,-0.004356639655,0.00327310399850632,0.0180094594805078,-1.90055547686696,-6.52156130045623,-1.83474272853116,1,1,0.16207204676558
"APC-CSMD1",-0.0332871188582297,0.0436570167350039,-0.0354868275774602,0.041497278235032,-0.0179856631441028,0.0420144550778182,1,1,5.32077268546459e-11,-0.0201853718633333,0.00327310399850632,0.00982864299639,-1.9196982126315,-6.58911285566386,-1.86731458052832,1,1,2.71359406958694e-09
"APC-CTCF",-5.84760482613604e-05,0.0412755175097146,-0.0358864641748934,0.0286874554590953,0.00811709372663207,0.0339373691346529,0.505346559218661,1,0.98560997993529,-0.0277108944,0.00327310399850632,-0.030925522350245,-1.8365269079175,-6.5917316454344,-1.80274802001767,1,1,1
"APC-DUSP26",-0.0240429661910325,0.0318799495978383,-0.0313805539143595,0.029320519490915,-0.00946799822867301,0.029426082246276,1,1,3.34277691347573e-05,-0.016805585952,0.00327310399850632,0.00396427624052622,-1.89656009523372,-6.562204740809,-1.84624568233129,1,1,0.000535906612559699
"APC-FOXA1",-0.0147969523916702,0.0306685562220417,-0.0251081590381015,0.0265645045055959,-0.00435439281756865,0.0285650925407485,0.999999997574816,1,0.0186834878603718,-0.014665599464,0.00327310399850632,-0.00314175107083614,-1.87341731942146,-6.52110219003113,-1.83359690676943,1,1,0.125122752034611
"APC-FTO",0.000809093161574824,0.0362400681772702,-0.0240541222397044,0.0305603962853718,0.00800473053327924,0.0323789051247408,0.386318181389513,1,0.999626388647124,-0.016858484868,0.00327310399850632,-0.0209406820280811,-1.83435538187822,-6.51419516298922,-1.80302595636588,1,1,1
"APC-GATA3",-0.0217973039497034,0.0321661610645417,-0.0261074094191615,0.0266401835971809,-0.00162833841054188,0.025653424849875,1,1,0.210540770217871,-0.00593844388,0.00327310399850632,0.0125857560711971,-1.89093920184886,-6.52765020563563,-1.82685386588305,1,1,0.952822734842653
"APC-KAT6B",-0.0119708757814982,0.0383261719465004,-0.0165990249715264,0.0345445370286279,0.00547475675669494,0.034674556032984,0.99999599080675,0.999999999999212,0.990921634430941,0.000846607566666667,0.00327310399850632,0.00954437934965851,-1.86634364866596,-6.46534244882432,-1.80928398136091,1,1,1
"APC-KDM5C",-0.0163176164944831,0.0359877338979744,-0.0328897882285889,0.0267611868368257,-0.00543894093256079,0.032723210951732,0.999992963949079,1,0.0394481116303818,-0.0220111126666667,0.00327310399850632,-0.00896660017068992,-1.87722354220901,-6.5720946443084,-1.83627959434301,1,1,0.242167574175399
"APC-KDM6A",-0.0112180123011904,0.0380568781146171,-0.0269146636805983,0.0344626535333733,-0.000223998380592038,0.0354483424900375,0.99981310938711,1,0.4669527656442,-0.01592064976,0.00327310399850632,-0.00797574145731597,-1.86445923110829,-6.53294008452973,-1.82338015596151,1,1,1
"APC-KLLN",-0.0154935082533808,0.0293410910909269,-0.0187844933577493,0.0257919013007696,0.000808649973168539,0.0261413266032505,0.999999999929394,1,0.654806385396832,-0.0024823351312,0.00327310399850632,0.00973806912367443,-1.87516079898986,-6.47966366537562,-1.82082584521382,1,1,1
"APC-KMT2C",-0.0263206725908054,0.0348204502710056,-0.0286184855154802,0.0319831771106987,-0.00148523079199181,0.0301257623666755,1,1,0.249295528214029,-0.00378304371666667,0.00327310399850632,0.0192645248756324,-1.9022611951585,-6.54410510600338,-1.8264998815603,1,1,1
"APC-MAP3K1",-0.0303592635358044,0.0351643289920851,-0.0331023018604771,0.0310394961761965,-0.00919939637499399,0.0277470972961647,1,1,1.02066779052295e-06,-0.0119424346996667,0.00327310399850632,0.0151437248376314,-1.91236978972322,-6.57348723079537,-1.84558128132856,1,1,2.33345774178177e-05
