"","f.avg","f.se","l","u","p_f.avg_vs_0","p.adj_I","f.ctrl","diff","p_f.avg_vs_CTRL","p.adj_II","Rep1_Add.mean","Rep1_Add.sd","Rep1_Max.mean","Rep1_Max.sd","Rep1_Min.mean","Rep1_Min.sd","Rep1_p.value_Add","Rep1_p.value_Max","Rep1_p.value_Min","Rep1_avg.f.DKO","Rep1_avg.f.SKO1","Rep1_avg.f.SKO2","Rep1_z_Add","Rep1_z_Max","Rep1_z_Min","Rep1_p.adj_Add","Rep1_p.adj_Max","Rep1_p.adj_Min","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min","gi.Weighted.Avg.Add","gi.Weighted.Avg.Max","gi.Weighted.Avg.Min","fisher.p.Add","fisher.p.Add.adj","fisher.p.Max","fisher.p.Max.adj","fisher.p.Min","fisher.p.Min.adj"
"ARID1A-PTPN22",-0.0388109651900679,0.00414166583187916,-0.047282596339977,-0.030455541172299,0,0,-0.0262866281975595,-0.0125243369925084,0.266,0.332259057971015,-0.0115469916388924,0.0538138254596149,-0.0565663513054937,0.042359999860131,0.00665255948478314,0.0392749565575212,0.999209405380004,1,0.992760729889263,-0.0393065907142857,-0.0418951664466831,0.0150753579037573,-1.88089742974623,-7.76600374149463,-1.93042118738945,1,1,1,-0.00801056029285866,0.0588765801928797,-0.0477058848241085,0.0467051532192492,0.00137998531696411,0.0436442528942588,0.986499205050275,1,0.696315276768814,-0.0383153392142857,-0.0345204111919823,0.00421563227055525,-1.85643097759622,-6.66918345562545,-1.81941261678628,1,1,1,-0.00993733445388751,-0.0525673604533703,0.00429333305548311,0.9998975416818,1,1,1,0.946505670596932,1
"ARID1A-RB1",-0.031786911154815,0.0036570999389712,-0.039372813463448,-0.0246334138191329,0,0,-0.0262866281975595,-0.00550028295725558,0.52,0.58346623270952,-0.0271350757569296,0.0412218839665215,-0.069082953352672,0.0396579765934029,0.00672720004812331,0.0356461881259478,1,1,0.997768627919559,-0.035220677547619,-0.0418951664466831,0.0338095646559937,-1.91975280509557,-7.86022105850806,-1.93022928164103,1,1,1,-0.0164195635085077,0.0409485693774484,-0.0522127431267021,0.0374528327814273,0.00744003760628966,0.0342825018730057,0.999999999874438,1,0.999604765956673,-0.0283531420119048,-0.0345204111919823,0.0225868326885852,-1.8774787156212,-6.69871657270202,-1.80442275442139,1,1,1,-0.0217416781909815,-0.0601658037385448,0.00709751465796729,1,1,1,1,0.999996549765076,1
"ARID1A-RBL2",-0.0446641078666203,0.00442616233480512,-0.0537047363171102,-0.0360108092143348,0,0,-0.0262866281975595,-0.0183774796690609,0.063,0.100435838150289,-0.0152487436172097,0.0454200084591629,-0.0596269779660081,0.0455996802207554,0.000180510605941211,0.0335450718786033,0.999995846048944,1,0.526421647325073,-0.0441977237428571,-0.0418951664466831,0.0129461863210357,-1.89012453947174,-7.78904226514877,-1.94706124647177,1,1,1,-0.0334634900520831,0.0435791791646538,-0.069564809167681,0.0441311100500298,-0.0090291743701164,0.0323898017092538,1,1,0.00021575928555883,-0.0451304934857143,-0.0345204111919823,0.0228534077583511,-1.92013966979214,-6.81242340870653,-1.84516022812592,1,1,0.00262474140046797,-0.0247327034210445,-0.0647584965509892,-0.00458564877522377,0.999999999991372,1,1,1,0.00114523075129338,0.00867757700694299
"ARID1A-RHOBTB1",-0.0393678531615443,0.00356382730244549,-0.0465445110274768,-0.0319411559271746,0,0,-0.0262866281975595,-0.0130812249639849,0.19,0.249533333333333,-0.0087691820378449,0.0509256675999332,-0.052945617347211,0.0425798482126226,0.00533756011508035,0.0385790163788813,0.998167127546106,1,0.986703403045122,-0.0388388751942857,-0.0418951664466831,0.0118254732902423,-1.8739733694268,-7.73874907302446,-1.93380213639257,1,1,1,-0.0287953939036122,0.0492214917738228,-0.0641872712794099,0.0385663698945657,-0.00450495551277367,0.0403238864934329,1,1,0.0225979725263779,-0.0398968328885714,-0.0345204111919823,0.023418972207023,-1.90845542348034,-6.77718479116522,-1.83396933162167,1,1,0.148341146386025,-0.019122969691227,-0.0591210977936858,0.000633854713064519,0.99999831926211,1,1,1,0.107101138014085,0.484696617770228
"ARID1A-ROBO1",-0.0412211943592986,0.00315050867136591,-0.047596763013427,-0.0344906710345714,0,0,-0.0262866281975595,-0.0149345661617391,0.052,0.0858778443113772,-0.0143696576365928,0.0442251693641953,-0.0579499035611821,0.0394556485339355,0.00354874474091585,0.0336493513317571,0.999999997371019,1,0.958804953202783,-0.0400315011836735,-0.0418951664466831,0.0162333228996024,-1.88793330060733,-7.77641827580574,-1.93840129719477,1,1,1,-0.0168318231666967,0.0450609660185574,-0.0541016527415231,0.0415058518675519,-0.00514105725986748,0.0323263787654857,0.999999999993067,1,0.00470484365878995,-0.0424108868346939,-0.0345204111919823,0.00894134752398517,-1.87851060169156,-6.71109446103489,-1.8355427632001,1,1,0.0362710621602062,-0.0155776943889963,-0.0561231656810405,-0.000970337717002658,1,1,1,1,0.0288761255090269,0.146703993965401
"ARID1A-ROBO2",-0.049889760943001,0.00423789225097598,-0.058337646075485,-0.041589939383903,0,0,-0.0262866281975595,-0.0236031327454415,0.017,0.0343235724743777,-0.026791582394828,0.0422024193262699,-0.0690872892059237,0.0382122515763562,-0.00868731157461866,0.0381385095811175,1,1,0.000419067335990231,-0.0509830183857143,-0.0418951664466831,0.0177037304557969,-1.91889660215149,-7.86025369615674,-1.9698609947089,1,1,0.00550181472795096,-0.0247236533243258,0.0460942774790899,-0.0609383755805396,0.0434172088221481,-0.0125817807437862,0.0371893345259674,1,1,5.07985565002619e-07,-0.048796503,-0.0345204111919823,0.0104475615163081,-1.89826385536927,-6.75589501221009,-1.85394778936062,1,1,1.1817348406903e-05,-0.0258485893398982,-0.0655303293535286,-0.0106836109666338,1,1,1,1,4.95378337150728e-09,9.51987934872269e-08
"ARID1A-RUNX1",-0.0616270498847657,0.00414712086719765,-0.069409775676578,-0.0533002578177824,0,0,-0.0262866281975595,-0.0353404216872063,0,0,-0.0126543477323249,0.0531314450778462,-0.0589037101232519,0.0448605880023712,-0.0136466109900253,0.0435345767322326,0.999986576649864,1,1.55006767085921e-08,-0.0598959733809524,-0.0418951664466831,-0.0053464592019444,-1.88365766226293,-7.78359794764393,-1.982611676421,1,1,6.22845373199791e-07,-0.0100913204675231,0.0541379404183822,-0.0560279655152537,0.0436526255360769,-0.0174214831427456,0.0426322228557609,0.999555613413804,1,1.59841820349593e-13,-0.0633581281904762,-0.0345204111919823,-0.0187463965309708,-1.86163912104985,-6.72371744956771,-1.86591905122171,1,1,1.32468908614725e-11,-0.0113968805498723,-0.0574265991051057,-0.015573573856562,0.999999895191767,1,1,1,1.20034953928233e-19,6.92027603951467e-18
"ARID1A-SETD2",-0.066111941487669,0.00763814141999929,-0.082163914936993,-0.050985358595897,0,0,-0.0262866281975595,-0.0398253132901096,0.008,0.0188904109589041,0.0283035967528539,0.080106457824993,-0.0539322262649223,0.0586510893800156,0.00981289855587147,0.0659257798361076,3.83301632261581e-05,1,0.952214759603746,-0.0724229244619048,-0.0418951664466831,-0.0588313547680755,-1.78156453173719,-7.74617566091293,-1.92229574985838,0.000368302872738302,1,1,0.0494955699511301,0.0864851745351699,-0.042166115789099,0.0361918387239403,0.0318607333592767,0.0754435405927702,1.65174090604156e-11,1,0.999999863988725,-0.0598009523809524,-0.0345204111919823,-0.0747761111401002,-1.71249311324231,-6.63288174909212,-1.74401686174669,2.70396103877914e-10,1,1,0.0380893403678333,-0.0454108486157577,0.0193591322974245,2.27895307965789e-14,3.24934600389931e-13,1,1,0.998839645983691,1
"ARID1A-SIAH1",-0.0359065975039864,0.00387120300964014,-0.0439843137760219,-0.0286071382591085,0,0,-0.0262866281975595,-0.00961996930642698,0.387,0.453803571428571,-0.0163200263977447,0.0464401624431862,-0.0595010724334057,0.037722684343134,0.00213815399994667,0.0390866103489902,0.999999810516851,1,0.785343415357438,-0.0410428920357143,-0.0418951664466831,0.0171723008087135,-1.89279485445258,-7.78809452538408,-1.94202801783766,1,1,1,-0.00695671811055984,0.0389473483688775,-0.0441820182145622,0.0356155357206845,0.00645499888578806,0.0253034354304474,0.988564661256646,1,0.996984994118321,-0.0307703012182143,-0.0345204111919823,0.0107068280843279,-1.85379321024094,-6.64609181214466,-1.80685930020341,1,1,1,-0.0108230137842224,-0.0514017623781936,0.00518014402337397,0.999934363697238,1,1,1,0.974533513394433,1
"ARID1A-SMAD4",-0.0313450943237632,0.00386615255993447,-0.0390473523903164,-0.0242206232969676,0,0,-0.0262866281975595,-0.00505846612620377,0.591,0.646303727200634,-0.0388905428396806,0.058244798248418,-0.0812696582326427,0.0530577662869178,0.00905546794067631,0.0419189412370508,1,1,0.999676103122867,-0.0333236474522857,-0.0418951664466831,0.047462061834078,-1.94905487213911,-7.95195511162387,-1.92424315328866,1,1,1,-0.0436120765902427,0.0397432896141335,-0.0782660121706808,0.0366319829637641,0.00528739396043814,0.0317741515793262,1,1,0.989460378293341,-0.02936654162,-0.0345204111919823,0.048765946162225,-1.94554158548906,-6.86944176378699,-1.80974743322471,1,1,1,-0.0421121125069968,-0.0792355987285101,0.00666235523927421,1,1,1,1,0.999940814417849,1
