"","Rep2_Add.mean","Rep2_Add.sd","Rep2_Max.mean","Rep2_Max.sd","Rep2_Min.mean","Rep2_Min.sd","Rep2_p.value_Add","Rep2_p.value_Max","Rep2_p.value_Min","Rep2_avg.f.DKO","Rep2_avg.f.SKO1","Rep2_avg.f.SKO2","Rep2_z_Add","Rep2_z_Max","Rep2_z_Min","Rep2_p.adj_Add","Rep2_p.adj_Max","Rep2_p.adj_Min"
"APC-CSMD1",0.000529166887697269,0.119762639803506,-0.0945207548242921,0.106799014582835,-0.0334955429546773,0.0903677234381113,0.957943319754319,1,3.0332246580665e-05,-0.128545464666667,-0.076086791390709,-0.0529878401636549,-0.502133749737822,-12.9233115548242,-1.09708906291358,0.964489629456512,1,0.000213939143435967
"APC-CTCF",0.091591355651673,0.0798971301509382,-0.0554624030110215,0.0743094610882358,0.0240292357293611,0.0540373942527843,8.51397028581022e-10,0.999999964403485,0.983221539655602,-0.123024522933333,-0.076086791390709,-0.138529087194297,-0.126600264070986,-12.4571095047775,-0.964420880759822,3.6773695762164e-09,1,1
"APC-DUSP26",0.0211463521994869,0.111142112889915,-0.0785874071110561,0.103643471233051,-0.026292981489457,0.0970438533558963,0.0690032295390168,0.999999999995234,0.00483102461629255,-0.1260267408,-0.076086791390709,-0.0710863016087779,-0.417110058018275,-12.7331304789936,-1.08047794752468,0.0934609625829789,1,0.0188965741628434
"APC-FOXA1",-0.0260422838009738,0.112115568603779,-0.125356403504274,0.09273078155976,-0.0435285970966999,0.0578501400779452,0.0258620814343121,1,2.04399661017353e-12,-0.1428427168,-0.076086791390709,-0.0407136416083171,-0.61171237541971,-13.2913670912651,-1.12022808378289,0.0389694545248838,1,1.0424382711885e-10
"APC-FTO",0.031673729750543,0.080364574136317,-0.0894107600734708,0.0679864127936876,-0.0315406989759862,0.0555020697259372,0.000183649540506601,1,9.22983447792332e-08,-0.1526251888,-0.076086791390709,-0.108212127159834,-0.373695960022831,-12.8623184530172,-1.0925806475319,0.000385315333404672,1,1.27487088726316e-06
"APC-GATA3",0.0275116427913172,0.0642281990357934,-0.0780969756050199,0.0508320363583922,-0.0288774380036629,0.0425252311608465,0.000128956556775901,1,7.78915559685582e-10,-0.1344860564,-0.076086791390709,-0.0859109078006082,-0.390860087578536,-12.7272766689144,-1.08643842499959,0.000275356512535981,1,1.84436077168408e-08
"APC-KAT6B",0.0210997758479947,0.0976714753676921,-0.0839423789602222,0.0902026086819945,-0.0346000591917831,0.0799248146428344,0.0196368651620966,1,4.72940234693866e-06,-0.139642214,-0.076086791390709,-0.0846551984572856,-0.417302135321302,-12.7970476372485,-1.0996363853838,0.0303832942881448,1,4.07219968314329e-05
"APC-KDM5C",0.0573222897415422,0.0915403526499334,-0.0502489130187872,0.0775674424741423,0.00705716342699609,0.0800918880611352,2.64622642281041e-05,0.99999137358693,0.742370985961162,-0.100514039333333,-0.076086791390709,-0.0817495376841666,-0.267923264829661,-12.3948810796279,-1.00356321266004,6.28834451011937e-05,1,1
"APC-KDM6A",0.00975163138592885,0.0893164035743099,-0.0913304434699917,0.0732323517306061,-0.0337142871440795,0.0553966071630078,0.260587280991863,1,5.03079521434948e-09,-0.134796362,-0.076086791390709,-0.0684612019952198,-0.464101013138044,-12.8852318708485,-1.09759354801772,0.315272568061323,1,9.66787602061944e-08
"APC-KLLN",0.00636226850659088,0.0930057935838141,-0.0904777608925098,0.0741019595435837,-0.0229034614008993,0.0557835646068806,0.504854544166134,1,2.04723913109837e-05,-0.1197434908,-0.076086791390709,-0.0500189679158818,-0.478078485825052,-12.8750542174861,-1.07266076893122,0.563973989523415,1,0.000149980060101461
"APC-KMT2C",0.0200627996752256,0.0637774414982618,-0.075252920415644,0.050728209530373,-0.0214195818424637,0.0470428550327582,0.00374220694715996,1,1.49647049856214e-05,-0.116735301933333,-0.076086791390709,-0.0607113102178499,-0.421578545563568,-12.6933299123776,-1.06923852884518,0.00642767669939651,1,0.000114041372476632
"APC-MAP3K1",0.0227791582318315,0.106729936428988,-0.0781788545170819,0.0916070456346185,-0.00982479485108656,0.0679743521188799,0.0243859784415448,1,0.0593270118799308,-0.1107828076,-0.076086791390709,-0.0574751744411225,-0.41037649111123,-12.7282539788849,-1.04249771648926,0.0369130221615165,1,0.152472501866177
"APC-MLH1",-0.0135866455416558,0.0718968306147604,-0.107798646511023,0.0633586242450973,-0.0388290583639664,0.0460381559092623,0.286416963153666,1,3.58091528403078e-06,-0.133041059333333,-0.076086791390709,-0.0433676224009685,-0.560346278083191,-13.0817970012723,-1.109389636858,0.344323565858351,1,3.16552911108321e-05
"APC-MLLT4",-0.00627301156333135,0.0828367839246694,-0.0950414380471659,0.0680153663975919,-0.0244825031828321,0.0505378921794139,0.42738371099149,1,1.5339842239781e-06,-0.113250929666667,-0.076086791390709,-0.0308911267126263,-0.530185412217224,-12.9295264506061,-1.07630247964348,0.488965315595095,1,1.46335473452874e-05
"APC-MYSM1",0.0447913929635805,0.075244969974273,-0.0634355545000685,0.0697393065284321,-0.016223590136351,0.0627244381366826,1.14822628399585e-06,0.999999999999868,0.00930215843129439,-0.1244505376,-0.076086791390709,-0.0931551391728714,-0.319599722527776,-12.5522773599726,-1.05725512291289,3.17859718701148e-06,1,0.0332470676007988
"APC-NCOA3",0.0747738031705642,0.0936305689497254,-0.0363734116195733,0.0854859871306117,0.0102805231901375,0.0785057119965297,1.3710604620928e-13,0.999975818973292,0.908931684628465,-0.1008666916,-0.076086791390709,-0.0995537033798552,-0.195954561275339,-12.22926253974,-0.996129246115768,1.05699196089247e-12,1,1
"APC-NCOR1",0.0527491445195125,0.0911260659991706,-0.0457345124788692,0.0812732171346916,0.00342990971838168,0.073697345744017,2.45575112538437e-08,0.999999975091467,0.676221338238879,-0.09505374728,-0.076086791390709,-0.0717161004088035,-0.286782565149585,-12.3409970141532,-1.01192867128049,8.80088106016127e-08,1,1
"APC-NF1",0.052899931069988,0.0835093713772942,-0.0476230893542868,0.0685379261897716,0.00446961462427479,0.0564369649616072,2.93570888708371e-10,0.999999999998844,0.786109989712313,-0.0960534058,-0.076086791390709,-0.0728665454792789,-0.286160732974669,-12.3635391433039,-1.00953082181463,1.33771477122783e-09,1,1
"APC-NF2",0.00175923918124801,0.0734973005686884,-0.0786826930057659,0.0533375800578498,0.0127366651870139,0.0567318336345705,0.816243674947798,1,0.982304078944868,-0.067705267,-0.076086791390709,0.00662228520946102,-0.497061025896134,-12.7342678152455,-0.990464697702172,0.847563909930133,1,1
"APC-NFIA",0.0608313380221465,0.100259513089313,-0.0590390762830831,0.0914800863130012,0.00610740110522954,0.0753982857241238,1.12432998959764e-07,0.999999998993698,0.759221926873881,-0.1137630132,-0.076086791390709,-0.0985075598314375,-0.253452218722873,-12.4998008200627,-1.00575362944371,3.6362477224548e-07,1,1
"APC-PBRM1",0.0337947487148059,0.0975265862931234,-0.101622639374858,0.0777218740103478,-0.019499667410336,0.0731040981252643,0.00867791247213063,1,0.0206774231133428,-0.1549170555,-0.076086791390709,-0.112625012824097,-0.364949040410789,-13.0080799329806,-1.06481067073902,0.0142060641210435,1,0.065126515554139
"APC-PTEN",-0.0326439460446593,0.0856157355453723,-0.112124679306705,0.0733355346735523,0.00614638326204524,0.0718511220799781,0.0649284697789717,0.999999999951919,0.686200064909508,-0.07333435,-0.076086791390709,0.0353963874353683,-0.638937124431532,-13.1334327018149,-1.00566372571875,0.0887578875535222,1,1
"APC-PTPN22",0.0267710310327234,0.0684543884775531,-0.0698243355626506,0.044713114397308,-0.011288458904626,0.0452290306115605,0.0011787258365499,1,0.0178709715221138,-0.1078838255,-0.076086791390709,-0.0585680651420144,-0.393914313695936,-12.6285341063637,-1.0458733339833,0.00221700774363853,1,0.0569637217267376
